SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs7957197,OASL,Type 2 diabetes,3e-09,0.0766,[0.051-0.102] unit decrease,GCST004894,28869590
rs2191349,GTF3AP5 - AGMO,Type 2 diabetes,1e-06,0.0497,[0.03-0.07] unit increase,GCST004894,28869590
rs10507349,RNF6,Type 2 diabetes,2e-06,0.0561,[0.033-0.079] unit decrease,GCST004894,28869590
rs4607517,GCK,Type 2 diabetes,6e-06,0.0648,[0.037-0.093] unit increase,GCST004894,28869590
rs1359790,LINC01080,Type 2 diabetes,8e-12,0.0766,[0.055-0.099] unit decrease,GCST004894,28869590
rs516946,ANK1,Type 2 diabetes,5e-11,0.0778,[0.054-0.101] unit increase,GCST004894,28869590
rs7178572,HMG20A,Type 2 diabetes,2e-08,0.0618,[0.04-0.083] unit increase,GCST004894,28869590
rs8042680,PRC1,Type 2 diabetes,6e-09,0.0627,[0.042-0.084] unit increase,GCST004894,28869590
rs8042680,PRC1-AS1,Type 2 diabetes,6e-09,0.0627,[0.042-0.084] unit increase,GCST004894,28869590
rs9940149,FAM234A,Type 2 diabetes,4e-06,0.0622,[0.036-0.088] unit decrease,GCST004894,28869590
rs8050136,FTO,Type 2 diabetes,3e-26,0.107,[0.087-0.127] unit increase,GCST004894,28869590
rs7202877,CTRB2 - CTRB1,Type 2 diabetes,5e-10,0.1064,[0.073-0.14] unit decrease,GCST004894,28869590
rs2925979,CMIP,Type 2 diabetes,8e-07,0.0554,[0.033-0.077] unit decrease,GCST004894,28869590
rs12970134,RNU4-17P - MC4R,Type 2 diabetes,5e-10,0.0714,[0.049-0.094] unit increase,GCST004894,28869590
rs11873305,MC4R - MRPS5P4,Type 2 diabetes,5e-07,0.1442,[0.088-0.2] unit decrease,GCST004894,28869590
rs4689388,JAKMIP1-DT - WFS1,Type 2 diabetes,1e-15,0.075,[0.057-0.093] unit increase,GCST004894,28869590
rs459193,C5orf67,Type 2 diabetes,5e-19,0.075,[0.059-0.091] unit increase,GCST004894,28869590
rs4457053,ZBED3-AS1,Type 2 diabetes,5e-10,0.066,[0.044-0.088] unit decrease,GCST004894,28869590
rs4457053,PDE8B,Type 2 diabetes,5e-10,0.066,[0.044-0.088] unit decrease,GCST004894,28869590
rs329122,JADE2,Type 2 diabetes,3e-09,1.04,[1.03-1.06],GCST004894,28869590
rs9505118,SSR1,Type 2 diabetes,2e-08,0.044,[0.028-0.06] unit decrease,GCST004894,28869590
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,3e-29,0.092,[0.076-0.108] unit increase,GCST004894,28869590
rs12571751,ZMIZ1,Type 2 diabetes,2e-20,0.067,[0.053-0.081] unit decrease,GCST004894,28869590
rs1111875,HHEX - Y_RNA,Type 2 diabetes,6e-39,0.102,[0.086-0.118] unit decrease,GCST004894,28869590
rs7903146,TCF7L2,Type 2 diabetes,1e-219,0.301,[0.28-0.32] unit increase,GCST004894,28869590
rs2421016,PLEKHA1,Type 2 diabetes,4e-11,1.05,[1.03-1.06],GCST004894,28869590
rs7111341,MIR4686 - ASCL2,Type 2 diabetes,3e-11,0.067,[0.047-0.087] unit increase,GCST004894,28869590
rs231362,KCNQ1,Type 2 diabetes,2e-11,0.064,[0.044-0.084] unit increase,GCST004894,28869590
rs231362,KCNQ1OT1,Type 2 diabetes,2e-11,0.064,[0.044-0.084] unit increase,GCST004894,28869590
rs2237892,KCNQ1,Type 2 diabetes,1.9999999999999999e-63,0.215,[0.19-0.24] unit decrease,GCST004894,28869590
rs5215,KCNJ11,Type 2 diabetes,1e-20,0.068,[0.054-0.082] unit decrease,GCST004894,28869590
rs1552224,ARAP1,Type 2 diabetes,3e-17,0.097,[0.073-0.121] unit decrease,GCST004894,28869590
rs10830963,MTNR1B,Type 2 diabetes,4e-18,0.075,[0.057-0.093] unit increase,GCST004894,28869590
rs11063069,CCND2-AS1,Type 2 diabetes,3e-08,0.064,[0.04-0.088] unit increase,GCST004894,28869590
rs10842994,RN7SKP15 - PTHLH,Type 2 diabetes,9e-12,0.069,[0.049-0.089] unit decrease,GCST004894,28869590
rs1531343,RPSAP52,Type 2 diabetes,5e-07,0.069,[0.042-0.096] unit increase,GCST004894,28869590
rs1531343,RPSAP52,Type 2 diabetes,5e-07,0.069,[0.042-0.096] unit increase,GCST004894,28869590
rs7961581,TSPAN8,Type 2 diabetes,7e-06,0.048,[0.026-0.07] unit decrease,GCST004894,28869590
rs7957197,OASL,Type 2 diabetes,1e-09,0.075,[0.051-0.099] unit decrease,GCST004894,28869590
rs4275659,ABCB9,Type 2 diabetes,2e-07,0.043,[0.027-0.059] unit increase,GCST004894,28869590
rs10507349,RNF6,Type 2 diabetes,1e-09,1.05,[1.04-1.07],GCST004894,28869590
rs576674,TOMM22P3 - KL,Type 2 diabetes,9e-13,1.07,[1.05-1.10],GCST004894,28869590
rs1359790,LINC01080,Type 2 diabetes,1e-15,0.071,[0.053-0.089] unit decrease,GCST004894,28869590
rs7985179,PPIAP23 - MIR17HG,Type 2 diabetes,4e-09,1.07,[1.05-1.10],GCST004894,28869590
rs7172432,NPM1P47 - C2CD4B,Type 2 diabetes,5e-09,0.057,[0.037-0.077] unit decrease,GCST004894,28869590
rs7178572,HMG20A,Type 2 diabetes,1e-17,0.065,[0.049-0.081] unit increase,GCST004894,28869590
rs2028299,AP3S2,Type 2 diabetes,4e-08,0.062,[0.04-0.084] unit decrease,GCST004894,28869590
rs8042680,PRC1,Type 2 diabetes,2e-09,0.057,[0.039-0.075] unit increase,GCST004894,28869590
rs8042680,PRC1-AS1,Type 2 diabetes,2e-09,0.057,[0.039-0.075] unit increase,GCST004894,28869590
rs9940149,FAM234A,Type 2 diabetes,1e-09,1.05,[1.04-1.07],GCST004894,28869590
rs8050136,FTO,Type 2 diabetes,3e-39,0.106,[0.09-0.122] unit increase,GCST004894,28869590
rs7202877,CTRB2 - CTRB1,Type 2 diabetes,4e-06,0.055,[0.031-0.079] unit decrease,GCST004894,28869590
rs2925979,CMIP,Type 2 diabetes,2e-08,1.05,[1.03-1.07],GCST004894,28869590
rs4430796,HNF1B,Type 2 diabetes,3e-15,0.083,[0.061-0.105] unit decrease,GCST004894,28869590
rs12970134,RNU4-17P - MC4R,Type 2 diabetes,3e-12,0.062,[0.044-0.08] unit increase,GCST004894,28869590
rs11873305,MC4R - MRPS5P4,Type 2 diabetes,4e-07,0.129,[0.08-0.178] unit decrease,GCST004894,28869590
rs12454712,BCL2,Type 2 diabetes,4e-08,0.048,[0.03-0.066] unit decrease,GCST004894,28869590
rs3794991,GATAD2A,Type 2 diabetes,4e-09,0.077,[0.052-0.102] unit increase,GCST004894,28869590
rs3786897,PEPD,Type 2 diabetes,5e-06,0.037,[0.021-0.053] unit decrease,GCST004894,28869590
rs4420638,APOC1 - APOC1P1,Type 2 diabetes,9e-08,0.077,[0.05-0.104] unit decrease,GCST004894,28869590
rs11671664,GIPR,Type 2 diabetes,3e-12,0.076,[0.054-0.098] unit increase,GCST004894,28869590
rs4812829,HNF4A,Type 2 diabetes,4e-10,0.057,[0.039-0.075] unit increase,GCST004894,28869590
rs4812829,HNF4A-AS1,Type 2 diabetes,4e-10,0.057,[0.039-0.075] unit increase,GCST004894,28869590
rs7674212,SLC9B2,Type 2 diabetes,7e-09,1.07,[1.04-1.09],GCST004894,28869590
rs2296172,MACF1,Type 2 diabetes,3e-06,0.0581,[0.034-0.083] unit increase,GCST004894,28869590
rs17106184,FAF1,Type 2 diabetes,6e-07,0.0897,[0.055-0.125] unit decrease,GCST004894,28869590
rs17106184,FAF1-AS1,Type 2 diabetes,6e-07,0.0897,[0.055-0.125] unit decrease,GCST004894,28869590
rs10923931,NOTCH2,Type 2 diabetes,1e-06,0.0769,[0.046-0.108] unit increase,GCST004894,28869590
rs340874,PROX1,Type 2 diabetes,1e-08,0.0597,[0.039-0.08] unit increase,GCST004894,28869590
rs340874,PROX1-AS1,Type 2 diabetes,1e-08,0.0597,[0.039-0.08] unit increase,GCST004894,28869590
rs780094,GCKR,Type 2 diabetes,2e-07,0.0552,[0.035-0.076] unit increase,GCST004894,28869590
rs7578597,THADA,Type 2 diabetes,5e-14,0.1377,[0.1-0.17] unit decrease,GCST004894,28869590
rs243021,MIR4432HG,Type 2 diabetes,6e-07,0.0768,[0.047-0.107] unit increase,GCST004894,28869590
rs11123406,MIR4435-2HG,Type 2 diabetes,1e-06,0.0494,[0.029-0.069] unit decrease,GCST004894,28869590
rs3923113,GRB14 - COBLL1,Type 2 diabetes,4e-10,0.0686,[0.047-0.09] unit decrease,GCST004894,28869590
rs7607980,COBLL1,Type 2 diabetes,2e-09,0.0927,[0.063-0.123] unit decrease,GCST004894,28869590
rs7578326,NYAP2 - MIR5702,Type 2 diabetes,3e-13,0.0796,[0.058-0.101] unit decrease,GCST004894,28869590
rs7754840,CDKAL1,Type 2 diabetes,1.9999999999999999e-56,0.127,[0.11-0.14] unit increase,GCST004894,28869590
rs3130501,POU5F1,Type 2 diabetes,4e-12,0.063,[0.045-0.081] unit increase,GCST004894,28869590
rs2050188,TSBP1-AS1,Type 2 diabetes,8e-09,1.06,[1.04-1.08],GCST004894,28869590
rs1535500,KCNK16,Type 2 diabetes,5e-07,0.053,[0.031-0.075] unit increase,GCST004894,28869590
rs4897182,CENPW - MIR588,Type 2 diabetes,3e-08,0.047,[0.031-0.063] unit increase,GCST004894,28869590
rs622217,SLC22A2 - SLC22A3,Type 2 diabetes,2e-10,1.05,[1.03-1.07],GCST004894,28869590
rs17168486,DGKB,Type 2 diabetes,1e-12,0.065,[0.047-0.083] unit increase,GCST004894,28869590
rs2191349,GTF3AP5 - AGMO,Type 2 diabetes,1e-09,0.048,[0.032-0.064] unit increase,GCST004894,28869590
rs864745,JAZF1,Type 2 diabetes,4e-19,0.07,[0.054-0.086] unit decrease,GCST004894,28869590
rs9648716,BRAF,Type 2 diabetes,1e-09,1.06,[1.04-1.09],GCST004894,28869590
rs12681990,KCNU1 - SMARCE1P4,Type 2 diabetes,3e-09,1.05,[1.04-1.07],GCST004894,28869590
rs516946,ANK1,Type 2 diabetes,2e-21,0.086,[0.068-0.104] unit increase,GCST004894,28869590
rs896854,TP53INP1,Type 2 diabetes,2e-06,0.038,[0.022-0.054] unit decrease,GCST004894,28869590
rs896854,NDUFAF6,Type 2 diabetes,2e-06,0.038,[0.022-0.054] unit decrease,GCST004894,28869590
rs13266634,SLC30A8,Type 2 diabetes,3.9999999999999995e-42,0.109,[0.093-0.125] unit decrease,GCST004894,28869590
rs7041847,GLIS3,Type 2 diabetes,3e-08,0.043,[0.027-0.059] unit decrease,GCST004894,28869590
rs10811661,CDKN2B-AS1,Type 2 diabetes,2e-68,0.174,[0.15-0.19] unit decrease,GCST004894,28869590
rs13292136,KRT18P24 - CHCHD2P9,Type 2 diabetes,2e-09,0.094,[0.063-0.125] unit decrease,GCST004894,28869590
rs2796441,TLE1-DT,Type 2 diabetes,2e-14,0.057,[0.043-0.071] unit decrease,GCST004894,28869590
rs11787792,GPSM1,Type 2 diabetes,2e-12,0.108,[0.079-0.137] unit increase,GCST004894,28869590
rs2943640,NYAP2 - MIR5702,Type 2 diabetes,3e-15,0.0822,[0.062-0.103] unit increase,GCST004894,28869590
rs1801282,PPARG,Type 2 diabetes,2e-14,0.1134,[0.084-0.142] unit decrease,GCST004894,28869590
rs4607103,ADAMTS9-AS2,Type 2 diabetes,2e-08,0.0648,[0.042-0.088] unit decrease,GCST004894,28869590
rs11708067,ADCY5,Type 2 diabetes,2e-17,0.1044,[0.08-0.129] unit decrease,GCST004894,28869590
rs1470579,IGF2BP2,Type 2 diabetes,8e-12,0.1031,[0.074-0.133] unit increase,GCST004894,28869590
rs4689388,JAKMIP1-DT - WFS1,Type 2 diabetes,8e-15,0.0835,[0.063-0.104] unit increase,GCST004894,28869590
rs2706785,ANXA5 - SMIM43,Type 2 diabetes,1e-07,0.1282,[0.081-0.176] unit increase,GCST004894,28869590
rs77136196,RPL35P2 - NUDT3,Type 2 diabetes (adjusted for BMI),2e-08,1.11,[1.07-1.16],GCST009380,30297969
rs2233632,SPDEF - IFITM3P3,Type 2 diabetes (adjusted for BMI),5e-07,1.04,[1.03-1.06],GCST009380,30297969
rs2982521,LINC01625 - ATP5PBP6,Type 2 diabetes (adjusted for BMI),1e-09,1.05,[1.03-1.06],GCST009380,30297969
rs616279,FILNC1 - LINC02941,Type 2 diabetes (adjusted for BMI),7e-07,1.04,[1.03-1.06],GCST009380,30297969
rs11202627,PTEN - MED6P1,Type 2 diabetes (adjusted for BMI),5e-08,1.06,[1.04-1.08],GCST009380,30297969
rs72631105,RPL19P16 - LINC01153,Type 2 diabetes (adjusted for BMI),4e-09,1.06,[1.04-1.08],GCST009380,30297969
rs4923543,METTL15,Type 2 diabetes (adjusted for BMI),5e-08,1.04,[1.03-1.06],GCST009380,30297969
rs7978610,RFLNA,Type 2 diabetes (adjusted for BMI),2e-08,1.27,[1.17-1.38],GCST009380,30297969
rs7978610,ZNF664,Type 2 diabetes (adjusted for BMI),2e-08,1.27,[1.17-1.38],GCST009380,30297969
rs825452,RFLNA,Type 2 diabetes (adjusted for BMI),2e-06,1.04,[1.02-1.05],GCST009380,30297969
rs1641523,SHBG - ATP1B2,Type 2 diabetes (adjusted for BMI),1e-10,1.05,[1.04-1.07],GCST009380,30297969
rs62059712,KDM6B,Type 2 diabetes (adjusted for BMI),5e-06,1.07,[1.04-1.10],GCST009380,30297969
rs6011155,ZBTB46,Type 2 diabetes (adjusted for BMI),6e-06,1.04,[1.02-1.05],GCST009380,30297969
rs59944054,TCEA2,Type 2 diabetes (adjusted for BMI),2e-08,1.06,[1.04-1.08],GCST009380,30297969
rs3768321,PABPC4-AS1,Type 2 diabetes,3e-26,1.09,[1.07-1.10],GCST009379,30297969
rs3768321,PABPC4,Type 2 diabetes,3e-26,1.09,[1.07-1.10],GCST009379,30297969
rs58432198,FAF1,Type 2 diabetes,2e-10,1.07,[1.05-1.09],GCST009379,30297969
rs12140153,PATJ,Type 2 diabetes,1e-08,1.07,[1.04-1.09],GCST009379,30297969
rs184660829,DENND2C,Type 2 diabetes,3e-08,8.05,[3.86-16.8],GCST009379,30297969
rs1127215,PTGFRN,Type 2 diabetes,2e-13,1.05,[1.04-1.06],GCST009379,30297969
rs1493694,NOTCH2,Type 2 diabetes,3e-16,1.09,[1.07-1.11],GCST009379,30297969
rs10305745,ARNT,Type 2 diabetes,4e-06,1.28,[1.15-1.42],GCST009379,30297969
rs145904381,BNIPL,Type 2 diabetes,3e-08,1.19,[1.12-1.26],GCST009379,30297969
rs79046683,STARD7-AS1 - TMEM127,Type 2 diabetes (adjusted for BMI),3e-08,2.34,[1.73-3.16],GCST009380,30297969
rs113414093,CRYBA2 - MIR375,Type 2 diabetes (adjusted for BMI),7e-09,1.12,[1.08-1.17],GCST009380,30297969
rs4976033,PIK3R1 - LINC02198,Type 2 diabetes (adjusted for BMI),1e-09,1.05,[1.03-1.06],GCST009380,30297969
rs3934712,LINC02227,Type 2 diabetes (adjusted for BMI),3e-08,1.05,[1.03-1.07],GCST009380,30297969
rs2431115,C5orf67,Type 2 diabetes,4e-10,1.04,[1.03-1.06],GCST009379,30297969
rs9687832,C5orf67,Type 2 diabetes,2e-20,1.08,[1.06-1.10],GCST009379,30297969
rs96844,MAP3K1 - SETD9,Type 2 diabetes,5e-08,1.04,[1.03-1.05],GCST009379,30297969
rs2307111,POC5,Type 2 diabetes,2e-16,1.05,[1.04-1.07],GCST009379,30297969
rs4457053,ZBED3-AS1,Type 2 diabetes,8e-18,1.06,[1.05-1.08],GCST009379,30297969
rs4457053,PDE8B,Type 2 diabetes,8e-18,1.06,[1.05-1.08],GCST009379,30297969
rs1316776,DMGDH,Type 2 diabetes,3e-12,1.05,[1.03-1.06],GCST009379,30297969
rs7719891,RASA1,Type 2 diabetes,2e-08,1.04,[1.03-1.06],GCST009379,30297969
rs138337556,OR7H2P - RNA5SP188,Type 2 diabetes,5e-09,1.56,[1.34-1.81],GCST009379,30297969
rs78408340,PAM,Type 2 diabetes,2.0000000000000002e-24,1.47,[1.37-1.59],GCST009379,30297969
rs115505614,GIN1,Type 2 diabetes,9.999999999999999e-31,1.19,[1.15-1.22],GCST009379,30297969
rs329122,JADE2,Type 2 diabetes,4e-09,1.04,[1.03-1.05],GCST009379,30297969
rs112498319,RN7SL554P - RREB1,Type 2 diabetes,4e-07,1.03,[1.02-1.05],GCST009379,30297969
rs9379084,RREB1,Type 2 diabetes,3e-21,1.11,[1.08-1.13],GCST009379,30297969
rs9505097,RREB1 - SSR1,Type 2 diabetes,9e-10,1.05,[1.03-1.07],GCST009379,30297969
rs7756992,CDKAL1,Type 2 diabetes,2.0000000000000001e-88,1.15,[1.13-1.17],GCST009379,30297969
rs601945,HLA-DRB1 - HLA-DQA1,Type 2 diabetes,5e-08,1.06,[1.04-1.08],GCST009379,30297969
rs34298980,LRFN2,Type 2 diabetes,9e-10,1.04,[1.03-1.05],GCST009379,30297969
rs11967262,VEGFA - LINC02537,Type 2 diabetes,9e-10,1.04,[1.03-1.05],GCST009379,30297969
rs6458354,LINC02537,Type 2 diabetes,2e-12,1.05,[1.04-1.07],GCST009379,30297969
rs3798519,TFAP2B,Type 2 diabetes,3e-12,1.06,[1.04-1.08],GCST009379,30297969
rs2465043,FTH1P5 - TIAL1P1,Type 2 diabetes,3e-06,1.03,[1.02-1.04],GCST009379,30297969
rs555402748,NUFIP1P1 - RNU7-66P,Type 2 diabetes,5e-08,3.67,[2.30-5.86],GCST009379,30297969
rs4946812,BEND3,Type 2 diabetes,8e-09,1.04,[1.03-1.05],GCST009379,30297969
rs11759026,CENPW - MIR588,Type 2 diabetes,2e-18,1.07,[1.05-1.08],GCST009379,30297969
rs2800733,RPS4XP9 - RSPO3,Type 2 diabetes,6e-11,1.05,[1.03-1.06],GCST009379,30297969
rs555759341,IGF2,Type 2 diabetes,4e-08,1.38,[1.23-1.55],GCST009379,30297969
rs571342427,INS - TH,Type 2 diabetes,1e-06,1.68,[1.36-2.07],GCST009379,30297969
rs4929965,MIR4686 - ASCL2,Type 2 diabetes,3.9999999999999996e-26,1.07,[1.06-1.09],GCST009379,30297969
rs4930091,CD81-AS1,Type 2 diabetes,4e-06,1.04,[1.02-1.05],GCST009379,30297969
rs2283164,KCNQ1,Type 2 diabetes,1e-07,1.08,[1.05-1.12],GCST009379,30297969
rs80102379,KCNQ1,Type 2 diabetes,9e-08,1.15,[1.09-1.21],GCST009379,30297969
rs80102379,KCNQ1OT1,Type 2 diabetes,9e-08,1.15,[1.09-1.21],GCST009379,30297969
rs231349,KCNQ1,Type 2 diabetes,2e-11,1.07,[1.05-1.10],GCST009379,30297969
rs231349,KCNQ1OT1,Type 2 diabetes,2e-11,1.07,[1.05-1.10],GCST009379,30297969
rs231361,KCNQ1OT1,Type 2 diabetes,5e-25,1.08,[1.07-1.10],GCST009379,30297969
rs231361,KCNQ1,Type 2 diabetes,5e-25,1.08,[1.07-1.10],GCST009379,30297969
rs2283220,KCNQ1,Type 2 diabetes,1e-09,1.05,[1.03-1.06],GCST009379,30297969
rs234853,KCNQ1,Type 2 diabetes,7e-16,1.08,[1.06-1.10],GCST009379,30297969
rs2237895,KCNQ1,Type 2 diabetes,6e-52,1.12,[1.11-1.14],GCST009379,30297969
rs2237897,KCNQ1,Type 2 diabetes,7.999999999999999e-32,1.23,[1.19-1.27],GCST009379,30297969
rs445084,SLC22A18AS,Type 2 diabetes,2e-06,1.03,[1.02-1.05],GCST009379,30297969
rs141521721,PDE3B,Type 2 diabetes,3e-08,1.13,[1.08-1.17],GCST009379,30297969
rs5213,KCNJ11,Type 2 diabetes,4e-27,1.07,[1.06-1.09],GCST009379,30297969
rs140242150,LINC02935,Type 2 diabetes,2e-08,1.36,[1.22-1.52],GCST009379,30297969
rs7918400,LINC02935,Type 2 diabetes,2e-15,1.06,[1.04-1.07],GCST009379,30297969
rs184509201,TCF7L2,Type 2 diabetes,1e-13,1.21,[1.15-1.27],GCST009379,30297969
rs180988137,TCF7L2,Type 2 diabetes,6e-06,1.17,[1.09-1.25],GCST009379,30297969
rs7903146,TCF7L2,Type 2 diabetes,0.0,1.37,[1.35-1.39],GCST009379,30297969
rs78025551,TCF7L2,Type 2 diabetes,2e-07,1.05,[1.03-1.07],GCST009379,30297969
rs34855922,TCF7L2,Type 2 diabetes,6e-12,1.05,[1.04-1.07],GCST009379,30297969
rs2280141,PLEKHA1 - ARMS2,Type 2 diabetes,1e-13,1.05,[1.03-1.06],GCST009379,30297969
rs12802972,FAM99B,Type 2 diabetes,2e-06,1.03,[1.02-1.05],GCST009379,30297969
rs12802972,LINC02708,Type 2 diabetes,2e-06,1.03,[1.02-1.05],GCST009379,30297969
rs11042596,H19 - IGF2,Type 2 diabetes,2e-08,1.04,[1.03-1.05],GCST009379,30297969
rs60276348,ERN1,Type 2 diabetes,3e-08,1.05,[1.03-1.07],GCST009379,30297969
rs11657492,PITPNC1,Type 2 diabetes,6e-08,1.06,[1.04-1.08],GCST009379,30297969
rs558308082,RPL17P41 - BPTF,Type 2 diabetes,7e-06,2.04,[1.49-2.77],GCST009379,30297969
rs61676547,BPTF,Type 2 diabetes,3e-11,1.06,[1.04-1.07],GCST009379,30297969
rs7240767,LAMA1,Type 2 diabetes,2e-08,1.04,[1.02-1.05],GCST009379,30297969
rs62080313,RPL12P40 - RN7SKP182,Type 2 diabetes,1e-08,1.06,[1.04-1.08],GCST009379,30297969
rs76197067,CCDC68,Type 2 diabetes,8e-06,2.68,[1.74-4.12],GCST009379,30297969
rs72926932,TCF4,Type 2 diabetes,1e-14,1.09,[1.07-1.12],GCST009379,30297969
rs28719468,LINC01415 - LINC01416,Type 2 diabetes,2e-06,1.04,[1.02-1.06],GCST009379,30297969
rs17684074,WDR7,Type 2 diabetes,3e-08,1.04,[1.03-1.06],GCST009379,30297969
rs9957145,SEC11C - GRP,Type 2 diabetes,8e-09,1.05,[1.03-1.07],GCST009379,30297969
rs523288,RNU4-17P - MC4R,Type 2 diabetes,8e-13,1.05,[1.04-1.07],GCST009379,30297969
rs74452128,MC4R - MRPS5P4,Type 2 diabetes,1e-09,1.15,[1.10-1.20],GCST009379,30297969
rs10469140,PHLPP1 - BCL2,Type 2 diabetes,7e-06,1.03,[1.02-1.04],GCST009379,30297969
rs12454712,BCL2,Type 2 diabetes,5e-13,1.05,[1.04-1.06],GCST009379,30297969
rs7249758,UHRF1,Type 2 diabetes,3e-09,1.05,[1.03-1.07],GCST009379,30297969
rs116953931,PTPRS,Type 2 diabetes,6e-06,1.08,[1.04-1.12],GCST009379,30297969
rs75253922,INSR,Type 2 diabetes,3e-08,1.05,[1.03-1.06],GCST009379,30297969
rs4804833,MAP2K7,Type 2 diabetes,8e-13,1.05,[1.03-1.06],GCST009379,30297969
rs755734872,HOOK2,Type 2 diabetes,8e-06,2.37,[1.62-3.46],GCST009379,30297969
rs755734872,RTBDN,Type 2 diabetes,8e-06,2.37,[1.62-3.46],GCST009379,30297969
rs3111316,FARSA,Type 2 diabetes,6e-13,1.05,[1.03-1.06],GCST009379,30297969
rs8107974,SUGP1,Type 2 diabetes,3e-15,1.1,[1.07-1.12],GCST009379,30297969
rs35895680,GIP - IGF2BP1,Type 2 diabetes,3e-15,1.06,[1.04-1.07],GCST009379,30297969
rs569511541,KIF2B - ISCA1P3,Type 2 diabetes,2e-08,7.63,[3.78-15.4],GCST009379,30297969
rs2727301,GH2 - CSH1,Type 2 diabetes,1e-06,1.04,[1.02-1.05],GCST009379,30297969
rs2102278,DCUN1D4 - LRRC66,Type 2 diabetes,4e-08,1.04,[1.02-1.05],GCST009379,30297969
rs114447556,SPATA18 - RNU6-1252P,Type 2 diabetes,8e-06,1.06,[1.03-1.08],GCST009379,30297969
rs12642790,SCD5,Type 2 diabetes,4e-10,1.04,[1.03-1.06],GCST009379,30297969
rs1903002,FAM13A,Type 2 diabetes,3e-08,1.04,[1.02-1.05],GCST009379,30297969
rs576406049,FAM13A,Type 2 diabetes,2e-06,1.65,[1.35-2.03],GCST009379,30297969
rs6821438,SMARCAD1-DT,Type 2 diabetes,4e-11,1.04,[1.03-1.06],GCST009379,30297969
rs1580278,CENPE - LINC02428,Type 2 diabetes,2e-10,1.04,[1.03-1.05],GCST009379,30297969
rs1296328,RNU1-89P - TERF1P3,Type 2 diabetes,4e-08,1.04,[1.02-1.05],GCST009379,30297969
rs7669833,RPS3AP18 - TMEM154,Type 2 diabetes,1e-14,1.06,[1.04-1.07],GCST009379,30297969
rs28819812,LINC02272 - PDGFC,Type 2 diabetes,2e-08,1.04,[1.03-1.06],GCST009379,30297969
rs58730668,ACSL1,Type 2 diabetes,1e-13,1.07,[1.05-1.09],GCST009379,30297969
rs3845281,OTULINL,Type 2 diabetes,2e-11,1.08,[1.06-1.10],GCST009379,30297969
rs146886108,ANKH,Type 2 diabetes,8e-13,1.41,[1.28-1.55],GCST009379,30297969
rs17250977,ANKH,Type 2 diabetes,2e-11,1.12,[1.09-1.16],GCST009379,30297969
rs6885132,ANKH,Type 2 diabetes,2e-08,1.07,[1.04-1.09],GCST009379,30297969
rs76549217,ANKH,Type 2 diabetes,3e-10,1.14,[1.10-1.19],GCST009379,30297969
rs62368490,MRPS30-DT,Type 2 diabetes,3e-06,1.1,[1.06-1.14],GCST009379,30297969
rs6884702,MRPS30-DT,Type 2 diabetes,2e-10,1.04,[1.03-1.06],GCST009379,30297969
rs17261179,RPS17P11 - MFSD4BP1,Type 2 diabetes,1e-08,1.04,[1.02-1.05],GCST009379,30297969
rs3811978,ITGA1,Type 2 diabetes,8e-11,1.06,[1.04-1.07],GCST009379,30297969
rs62357230,ITGA2,Type 2 diabetes,6e-06,1.09,[1.05-1.13],GCST009379,30297969
rs62370480,RPL13AP13 - FST,Type 2 diabetes,2e-06,1.04,[1.02-1.05],GCST009379,30297969
rs702634,ARL15,Type 2 diabetes,8e-14,1.05,[1.04-1.07],GCST009379,30297969
rs279744,ARL15,Type 2 diabetes,3e-08,1.04,[1.03-1.05],GCST009379,30297969
rs465002,C5orf67,Type 2 diabetes,6e-38,1.11,[1.09-1.12],GCST009379,30297969
rs67254669,ABCC8,Type 2 diabetes,1e-08,1.89,[1.52-2.35],GCST009379,30297969
rs7943101,WT1-AS,Type 2 diabetes,9e-06,1.04,[1.02-1.06],GCST009379,30297969
rs145678014,QSER1,Type 2 diabetes,2e-10,1.11,[1.07-1.14],GCST009379,30297969
rs528122639,TCP11L1,Type 2 diabetes,2e-07,2.09,[1.59-2.76],GCST009379,30297969
rs286925,EHF,Type 2 diabetes,5e-06,1.04,[1.02-1.06],GCST009379,30297969
rs2767036,PDHX,Type 2 diabetes,3e-08,1.04,[1.02-1.05],GCST009379,30297969
rs1061810,HSD17B12,Type 2 diabetes,6e-13,1.05,[1.04-1.07],GCST009379,30297969
rs7115753,MAPK8IP1,Type 2 diabetes,4e-09,1.04,[1.03-1.05],GCST009379,30297969
rs7124681,CELF1,Type 2 diabetes,5e-09,1.04,[1.03-1.05],GCST009379,30297969
rs1783541,SCYL1,Type 2 diabetes,2e-14,1.06,[1.05-1.08],GCST009379,30297969
rs61881115,SMIM38 - MYEOV,Type 2 diabetes,4e-07,1.05,[1.03-1.06],GCST009379,30297969
rs11820019,LINC01488 - CCND1,Type 2 diabetes,5e-12,1.16,[1.11-1.20],GCST009379,30297969
rs77464186,ARAP1,Type 2 diabetes,5e-33,1.11,[1.09-1.13],GCST009379,30297969
rs10830963,MTNR1B,Type 2 diabetes,5e-43,1.1,[1.09-1.12],GCST009379,30297969
rs57235767,SLC36A4 - DEUP1,Type 2 diabetes,6e-10,1.04,[1.03-1.06],GCST009379,30297969
